# ----------------------------------------
# Landing page: Landing page
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
# 
# All Users
# Start date: 20240925
# End date: 20250925
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,22347,8484,8122,48.87899941826643,35870,0,0.9718530451514745
/testimonials,10281,9561,9530,10.49469895924521,12898,0,1
(not set),4887,1176,0,63.675056271741354,0,0,0
/neothink-university,919,630,474,169.9771490750816,2567,0,1
/about,674,534,447,103.76409495548961,1371,0,1
/newsletter,479,343,211,51.079331941544886,832,0,1
/free-courses,326,233,163,112.68098159509202,656,0,1
/podcast,239,137,99,95.47698744769875,750,0,1
/about-neothink,230,192,169,112.88260869565218,496,0,1
/the-prime-law,218,137,111,80.35779816513761,363,0,1
/immortalis,205,172,118,157.6390243902439,467,0,1
/contact,195,162,102,120,462,0,1
/about-us,190,154,134,104.9421052631579,434,0,1
/twelve-visions-party,156,134,117,75.9551282051282,256,0,1
/faq,119,109,91,99.85714285714286,201,0,1
/blog,109,103,92,34.77981651376147,313,0,1
/neothink-coaching-programs,92,63,19,93.27173913043478,195,0,1
/pagead/aclk,86,86,86,0,133,0,1
/newsletter-signup-thank-you,82,41,5,28.914634146341463,139,0,1
/our-mission,82,79,69,75.7560975609756,207,0,1
/project-life,81,79,62,134.62962962962962,156,0,1
/the-movement,65,50,43,91.72307692307692,206,0,1
/how-to-excel-at-work-33-practical-tips-for-professional-growth,51,45,44,41.15686274509804,64,0,1
/formula-cure-to-aging,45,33,12,253.42222222222222,99,0,1
/privacy-policy,44,44,43,2.7954545454545454,68,0,1
/events,43,37,14,206.67441860465115,150,0,1
/why-youre-feeling-stuck-in-life-and-how-to-fix-it,43,41,41,101.5813953488372,55,0,1
/how-the-neothink-secret-society-differs-from-other-secret-groups,34,30,25,77.20588235294117,60,0,1
/why-youre-not-passionate-about-anything-and-what-to-do-about-it,34,22,22,31.647058823529413,65,0,1
/customer-testimonials,32,17,12,148.5,222,0,1
/free,29,23,19,48.13793103448276,109,0,1
/what-is-the-neothink-society,25,24,23,236.44,49,0,1
/mark-hamilton-the-visionary-behind-neothink-ideas-for-modern-society,23,21,17,216.7391304347826,84,0,1
/contact-form-submitted,20,20,18,4.5,22,0,1
/neothink-mentality-a-new-way-to-look-at-life-and-work,19,18,15,81.52631578947368,73,0,1
/secret-society-invitation-have-you-received-this-letter-what-does-it-mean,19,19,19,97.21052631578948,35,0,1
/18-good-financial-habits-that-can-change-your-life,18,7,4,43.611111111111114,49,0,1
/9-self-leadership-strategies-to-empower-yourself,17,15,15,59.588235294117645,62,0,1
/adulting-doesnt-have-to-be-boring-how-to-have-fun-as-an-adult,16,16,16,28.0625,46,0,1
/ascension-platform-for-business-and-personal-growth,16,10,3,217.0625,37,0,1
/neothink-society-why-people-cant-stop-talking-about-it,15,15,11,251.86666666666667,57,0,1
/how-the-neothink-movement-empowers-financial-independence,14,13,8,127.07142857142857,52,0,1
/neocheating/neo-tech/neothink,14,14,15,24.5,24,0,1
/what-i-offer,12,12,12,2.5833333333333335,19,0,1
/books,11,11,9,91.18181818181819,90,0,1
/neothink-society-clearing-up-the-misunderstandings-about-the-secret-society-neothink,11,11,10,185.8181818181818,28,0,1
