Date,Not indexed,Indexed,Impressions
2025-06-27,173,53,71
2025-06-28,173,53,85
2025-06-29,173,53,105
2025-06-30,173,53,116
2025-07-01,171,59,96
2025-07-02,171,59,72
2025-07-03,171,59,68
2025-07-04,171,59,67
2025-07-05,173,61,81
2025-07-06,173,61,91
2025-07-07,173,61,122
2025-07-08,173,61,119
2025-07-09,173,61,117
2025-07-10,173,61,97
2025-07-11,173,61,95
2025-07-12,184,64,81
2025-07-13,184,64,96
2025-07-14,184,64,135
2025-07-15,188,68,210
2025-07-16,188,68,97
2025-07-17,188,68,71
2025-07-18,188,68,107
2025-07-19,190,69,92
2025-07-20,190,69,82
2025-07-21,190,69,103
2025-07-22,189,69,102
2025-07-23,189,69,127
2025-07-24,189,69,125
2025-07-25,189,69,96
2025-07-26,189,69,118
2025-07-27,189,69,160
2025-07-28,189,69,135
2025-07-29,189,69,108
2025-07-30,189,69,110
2025-07-31,189,69,140
2025-08-01,189,69,115
2025-08-02,190,68,82
2025-08-03,190,68,108
2025-08-04,190,68,118
2025-08-05,190,68,101
2025-08-06,190,68,90
2025-08-07,190,68,75
2025-08-08,190,68,95
2025-08-09,190,68,67
2025-08-10,190,68,107
2025-08-11,190,68,102
2025-08-12,195,68,92
2025-08-13,195,68,68
2025-08-14,195,68,102
2025-08-15,195,68,87
2025-08-16,197,65,87
2025-08-17,197,65,81
2025-08-18,197,65,108
2025-08-19,204,61,146
2025-08-20,204,61,84
2025-08-21,204,61,98
2025-08-22,204,61,104
2025-08-23,207,59,103
2025-08-24,207,59,123
2025-08-25,207,59,62
2025-08-26,205,61,101
2025-08-27,205,61,90
2025-08-28,205,61,92
2025-08-29,205,61,156
2025-08-30,225,61,74
2025-08-31,225,61,102
2025-09-01,225,61,116
2025-09-02,229,69,108
2025-09-03,229,69,99
2025-09-04,229,69,86
2025-09-05,229,69,95
2025-09-06,229,75,143
2025-09-07,229,75,113
2025-09-08,229,75,90
2025-09-09,217,88,84
2025-09-10,217,88,74
2025-09-11,217,88,100
2025-09-12,217,88,75
2025-09-13,218,88,83
2025-09-14,218,88,115
2025-09-15,218,88,91
2025-09-16,219,88,126
2025-09-17,219,88,85
2025-09-18,219,88,72
2025-09-19,219,88,80
2025-09-20,223,85,60
2025-09-21,223,85,74
2025-09-22,223,85,82
