# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
# 
# All Users
# Start date: 20240909
# End date: 20250909
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/,2178,22983,0.09476569638428403,4.042553191489361,1757,2157,0.999073645206114,113.54240182128629,14977,5222,0
/neothink-university/,584,17270,0.03381586566299942,3.002489866821077,351,505,1,236.59259259259258,3646,1318,0
/about/,371,16755,0.02214264398686959,3.6494777678304984,297,366,0.997275204359673,126.6026936026936,2008,693,0
/about-neothink/,204,11135,0.0183206106870229,3.312438257745846,140,156,1,139.0857142857143,998,344,0
/free-courses/,112,4780,0.023430962343096235,4.582426778242677,124,172,1,141.30645161290323,988,375,0
/about-us/,100,6727,0.01486546751895347,4.017987215697934,107,135,1,135.85046728971963,865,327,0
/faq/,97,6171,0.015718684167882028,4.952357802625182,63,71,1,164.52380952380952,436,138,0
/the-movement/,77,1786,0.04311310190369541,7.732922732362822,34,46,1,147.44117647058823,377,148,0
/podcast/,72,10585,0.0068020784128483705,4.0218233349078885,50,81,1,295.02,533,187,0
/immortalis/,70,6209,0.011273957158962795,4.285875342245128,51,66,1,168.9607843137255,359,123,0
/the-prime-law/,67,3040,0.022039473684210525,4.017763157894737,60,109,1,115.11666666666666,421,155,0
/twelve-visions-party/,63,634,0.09936908517350158,9.572555205047319,75,85,1,89.33333333333333,458,147,0
/contact/,52,1826,0.028477546549835708,11.30065717415115,47,59,1,204.95744680851064,400,133,0
/our-mission/,26,1813,0.014340871483728626,5.983452840595698,28,30,1,116,288,120,0
/project-life/,25,1024,0.0244140625,5.08984375,41,41,1,185.0731707317073,241,79,0
/programs/,21,946,0.022198731501057084,14.69661733615222,6,7,1,367.8333333333333,62,24,0
/events/,18,346,0.05202312138728324,13.277456647398845,11,15,1,319.45454545454544,131,50,0
/secret-society-invitation-have-you-received-this-letter-what-does-it-mean/,16,495,0.03232323232323232,21.46868686868687,12,12,1,77.08333333333333,52,14,0
/how-the-neothink-movement-empowers-financial-independence/,11,279,0.03942652329749104,9.168458781362007,8,11,1,208.25,63,26,0
/neothink-coaching-programs/,11,4640,0.0023706896551724138,3.3239224137931034,18,21,1,148.27777777777777,204,84,0
/whats-the-truth-about-the-neothink-society-separating-fact-from-fiction/,11,685,0.016058394160583942,12.37080291970803,7,7,1,137.28571428571428,41,13,0
/how-the-neothink-secret-society-differs-from-other-secret-groups/,6,765,0.00784313725490196,11.419607843137255,5,5,1,186.8,44,16,0
/blog/,5,7092,0.0007050197405527354,4.922165820642978,6,11,1,169.5,188,91,0
/formula-cure-to-aging/,5,273,0.018315018315018316,8.267399267399266,10,14,1,203.7,70,32,0
/free/,5,287,0.017421602787456445,21.10452961672474,5,6,1,119.4,84,35,0
/neothink-society-clearing-up-the-misunderstandings-about-the-secret-society/,5,156,0.03205128205128205,23.102564102564102,2,3,1,47.5,9,3,0
/newsletter/,5,3579,0.0013970382788488405,4.213746856663873,22,41,1,42.63636363636363,212,90,0
/ascension-platform-for-business-and-personal-growth/,4,283,0.014134275618374558,23.763250883392224,5,8,1,105.6,34,15,0
/how-to-join-neothink-society-secret-meetings/,4,92,0.043478260869565216,20.119565217391305,3,3,1,314,23,8,0
/neothink-society-clearing-up-the-misunderstandings-about-the-secret-society-neothink/,4,356,0.011235955056179775,28.997191011235955,6,6,1,310,38,13,0
/books/,3,4601,0.0006520321669202348,3.541186698543795,2,2,1,115.5,45,23,0
/is-the-neothink-society-legit-everything-you-need-to-know/,3,697,0.00430416068866571,25.39167862266858,3,3,1,158.66666666666666,17,6,0
/neothink-mentality-a-new-way-to-look-at-life-and-work/,3,139,0.02158273381294964,8.582733812949641,3,3,1,145,11,3,0
/resources/,3,397,0.007556675062972292,38.59697732997481,1,1,1,156,18,7,0
/mark-hamiltons-neothink-the-surprising-logic-behind-its-teachings/,2,117,0.017094017094017096,13.82905982905983,0,0,0,0,0,0,0
/neothink-country/,2,652,0.003067484662576687,4.507668711656441,2,2,1,60.5,14,5,0
/testimonials/,2,1576,0.0012690355329949238,13.78743654822335,142,148,0.9932885906040269,12.873239436619718,577,182,0
