# ----------------------------------------
# Landing page: Landing page
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
# 
# All Users
# Start date: 20240909
# End date: 20250909
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,22783,8714,8405,49.30614932186279,37449,0,0.9719527718035377
/testimonials,10199,9507,9467,10.777919403863123,12845,0,1
(not set),4915,1166,0,69.67202441505596,0,0,0
/neothink-university,920,626,473,173.51739130434783,2600,0,1
/about,673,527,431,100.9702823179792,1349,0,1
/newsletter,545,381,228,49.31559633027523,972,0,1
/free-courses,327,227,156,101.69113149847095,641,0,1
/podcast,247,141,100,92.95951417004049,766,0,1
/about-neothink,246,203,180,108.630081300813,517,0,1
/the-prime-law,217,136,110,80.17511520737327,362,0,1
/immortalis,202,169,116,156.66831683168317,452,0,1
/contact,198,166,102,108.32828282828282,456,0,1
/about-us,182,146,127,101.88461538461539,416,0,1
/twelve-visions-party,160,136,118,72.20625,259,0,1
/faq,113,103,84,104.82300884955752,199,0,1
/blog,112,106,94,33.285714285714285,305,0,1
/neothink-coaching-programs,92,63,19,93.27173913043478,195,0,1
/pagead/aclk,86,86,86,0,133,0,1
/our-mission,83,79,69,74.8433734939759,208,0,1
/project-life,80,78,61,137.0375,155,0,1
/newsletter-signup-thank-you,70,36,2,42.31428571428572,125,0,1
/the-movement,63,48,41,93.17460317460318,201,0,1
/how-to-excel-at-work-33-practical-tips-for-professional-growth,50,44,43,41.98,63,0,1
/formula-cure-to-aging,46,33,12,226.95652173913044,100,0,1
/privacy-policy,46,46,45,2.6956521739130435,70,0,1
/events,43,37,15,207,150,0,1
/why-youre-feeling-stuck-in-life-and-how-to-fix-it,38,36,36,104.84210526315789,50,0,1
/why-youre-not-passionate-about-anything-and-what-to-do-about-it,34,22,22,31.647058823529413,65,0,1
/how-the-neothink-secret-society-differs-from-other-secret-groups,33,29,23,77.3030303030303,59,0,1
/customer-testimonials,32,17,12,148.5,222,0,1
/free,31,24,20,52.67741935483871,116,0,1
,26,17,0,25.76923076923077,0,0,0
/mark-hamilton-the-visionary-behind-neothink-ideas-for-modern-society,26,24,19,213.65384615384616,96,0,1
/what-is-the-neothink-society,24,23,22,231.04166666666666,48,0,1
/neothink-mentality-a-new-way-to-look-at-life-and-work,20,19,15,76.85,42,0,1
/contact-form-submitted,19,19,18,4.7368421052631575,21,0,1
/18-good-financial-habits-that-can-change-your-life,18,7,4,43.611111111111114,49,0,1
/how-the-neothink-movement-empowers-financial-independence,18,15,9,209.66666666666666,59,0,1
/neothink-society-why-people-cant-stop-talking-about-it,17,17,12,222.23529411764707,59,0,1
/secret-society-invitation-have-you-received-this-letter-what-does-it-mean,17,17,17,108.11764705882354,33,0,1
/adulting-doesnt-have-to-be-boring-how-to-have-fun-as-an-adult,16,16,16,28.0625,46,0,1
/9-self-leadership-strategies-to-empower-yourself,14,12,12,70.14285714285714,31,0,1
/neocheating/neo-tech/neothink,14,14,15,24.5,24,0,1
/ascension-platform-for-business-and-personal-growth,13,9,3,265.38461538461536,33,0,1
/what-i-offer,12,12,12,2.5833333333333335,19,0,1
/books,11,11,9,91.18181818181819,90,0,1
/free✉️,10,10,10,3.7,10,0,1
/programs,9,7,5,251.88888888888889,27,0,1
/whats-the-truth-about-the-neothink-society-separating-fact-from-fiction,9,9,8,144.66666666666666,25,0,1
/home-sample,8,5,4,152.25,63,0,1
/neothink-society-clearing-up-the-misunderstandings-about-the-secret-society-neothink,8,8,7,254.375,17,0,1
/how-to-find-your-passion-in-life-and-career,7,6,6,77.42857142857143,24,0,1
/podcast/the-future-of-humanity-everything-becomes-free,7,7,5,107.57142857142857,65,0,1
/how-to-join-neothink-society-secret-meetings,6,6,5,157,11,0,1
/is-the-neothink-society-legit-everything-you-need-to-know,6,6,6,88.83333333333333,9,0,1
/2025/04/09,5,5,5,3,59,0,1
/creating-success-stories-with-neothink-mastermind-group,5,5,4,77.6,54,0,1
/neothink-country,5,5,2,360.4,22,0,1
