# ----------------------------------------
# Tech overview
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
#  
# Start date: 20240909
# End date: 20250909
Platform,Active users
"[""Web""]",21281

#  
# Start date: 20240909
# End date: 20250909
Operating system,Active users
iOS,7656
Android,6892
Windows,4318
Macintosh,1758
Linux,491
Chrome OS,222
Tizen,2

#  
# Start date: 20240909
# End date: 20250909
Platform / device category,Active users
web / mobile,13530
web / desktop,6766
web / tablet,989
web / smart tv,1

#  
# Start date: 20240909
# End date: 20250909
Browser,Active users
Chrome,7186
Safari,3995
Safari (in-app),3878
Android Webview,3689
Edge,1284
Firefox,713
Samsung Internet,365
Opera,58
UC Browser,20
YaBrowser,6
Coc Coc,5
Mozilla Compatible Agent,5
Puffin,5
Android Runtime,4
Internet Explorer,4
Seznam,4
Aloha Browser,3
Opera Mini,3
Phoenix Browser,3
Whale Browser,3
Android Browser,2
Waterfox,2
Amazon Silk,1
DuckDuckGo Browser,1
Meta Quest Browser,1
Mozilla,1
Swing,1
Vivaldi,1

#  
# Start date: 20240909
# End date: 20250909
Device category,Active users
mobile,13530
desktop,6766
tablet,989
smart tv,1

#  
# Start date: 20240909
# End date: 20250909
Screen resolution,Active users
390x844,2056
1920x1080,1289
1366x768,1191
393x852,844
375x812,728
430x932,687
414x896,657
360x800,647
1536x864,605
384x832,574
375x667,542
412x915,516
428x926,504
1280x720,461
360x780,383
320x693,338
810x1080,337
360x806,307
1600x900,296
385x854,278
800x600,265
384x857,240
1536x960,238
1440x900,236
320x568,197
768x1024,194
1280x960,193
412x892,170
2560x1440,168
320x712,162
440x956,162
432x960,155
320x694,148
820x1180,142
384x854,135
360x820,132
414x736,123
1920x890,115
402x874,114
800x1280,112
1280x800,109
720x1280,104
2000x2000,103
1680x1050,97
1280x1024,96
1067x600,93
1024x1366,87
1470x956,86
412x869,85
360x760,79
384x824,77
412x883,74
360x720,73
412x922,73
393x873,71
1512x982,66
360x803,60
1080x1920,55
339x735,54
2465x1032,51
1728x1117,49
360x740,47
412x846,47
601x962,47
347x772,46
360x640,44
320x480,43
534x854,43
339x753,42
320x640,41
393x851,40
1920x1200,38
432x984,38
377x837,36
1366x912,34
360x825,33
1024x1024,31
3440x1440,31
320x717,30
1835x768,29
360x772,29
388x861,29
834x1194,29
320x714,28
