# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
# 
# All Users
# Start date: 20240925
# End date: 20250925
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,30524,8985,3.397217584863662,117.86499721758486,87806,29596,0
/testimonials/,12508,9777,1.2793290375370767,9.881456479492687,38670,12508,0
/neothink-university/,2400,1278,1.8779342723004695,110.49530516431925,6658,2400,0
/newsletter/,2190,1228,1.783387622149837,34.56514657980456,5450,2190,0
/about/,1655,1083,1.528162511542013,102.83656509695291,4533,1655,0
/free-courses/,1370,925,1.481081081081081,80.31243243243243,3426,1370,0
/contact/,1260,703,1.7923186344238975,146.58036984352773,2971,1260,0
/podcast/,853,363,2.349862258953168,106.75757575757575,2239,853,0
/immortalis/,744,524,1.4198473282442747,101.73282442748092,1929,744,0
/neothink-coaching-programs/,636,432,1.4722222222222223,58.854166666666664,1403,636,0
/the-prime-law/,538,358,1.5027932960893855,95.77374301675978,1332,538,0
/newsletter-signup-thank-you/,490,270,1.8148148148148149,90.65555555555555,1026,490,0
/faq/,476,386,1.233160621761658,76.63471502590673,1202,476,0
/formula-cure-to-aging/,471,370,1.272972972972973,110.17567567567568,1100,471,0
/about-neothink/,467,336,1.3898809523809523,76.85119047619048,1349,467,0
/events/,457,347,1.3170028818443804,73.62247838616715,1062,457,0
/project-life/,374,288,1.2986111111111112,85.24652777777777,913,374,0
/twelve-visions-party/,373,306,1.2189542483660132,78.93137254901961,1046,373,0
/about-us/,372,267,1.3932584269662922,63.52434456928839,998,372,0
/blog/,367,256,1.43359375,31.2421875,897,367,0
/customer-testimonials/,316,21,15.047619047619047,427.9047619047619,957,316,0
/our-mission/,186,161,1.15527950310559,48.31055900621118,542,186,0
/the-movement/,156,95,1.6421052631578947,18.36842105263158,412,156,0
/home-sample/,141,6,23.5,433.1666666666667,310,141,0
/pagead/aclk,133,86,1.5465116279069768,0,305,133,0
/contact-form-submitted/,129,103,1.2524271844660195,21.40776699029126,273,129,0
/podcast/the-future-of-humanity-everything-becomes-free/,121,19,6.368421052631579,139.8421052631579,266,121,0
/free/,103,78,1.3205128205128205,3.782051282051282,228,103,0
/how-the-neothink-movement-empowers-financial-independence/,103,65,1.5846153846153845,46.06153846153846,200,103,0
/ascension-platform-for-business-and-personal-growth/,97,76,1.2763157894736843,44.171052631578945,190,97,0
/how-to-excel-at-work-33-practical-tips-for-professional-growth/,96,75,1.28,44.04,261,96,0
/privacy-policy/,96,80,1.2,3.4125,224,96,0
/how-the-neothink-secret-society-differs-from-other-secret-groups/,93,75,1.24,46.653333333333336,220,93,0
/mark-hamilton-the-visionary-behind-neothink-ideas-for-modern-society/,71,56,1.2678571428571428,35.75,155,71,0
/neothink-mentality-a-new-way-to-look-at-life-and-work/,66,53,1.2452830188679245,40.35849056603774,141,66,0
/books/,65,49,1.3265306122448979,21.877551020408163,120,65,0
/why-youre-feeling-stuck-in-life-and-how-to-fix-it/,64,57,1.1228070175438596,74.71929824561404,202,64,0
/18-good-financial-habits-that-can-change-your-life/,61,31,1.967741935483871,52.903225806451616,124,61,0
/why-youre-not-passionate-about-anything-and-what-to-do-about-it/,61,39,1.564102564102564,28.923076923076923,146,61,0
/neothink-society-why-people-cant-stop-talking-about-it/,59,52,1.1346153846153846,50.86538461538461,125,59,0
/programs/,57,47,1.2127659574468086,14.361702127659575,114,57,0
/what-i-offer/,57,46,1.2391304347826086,4.8478260869565215,111,57,0
/9-self-leadership-strategies-to-empower-yourself/,56,40,1.4,27.725,122,56,0
/what-is-the-neothink-society/,47,42,1.119047619047619,93.85714285714286,128,47,0
/adulting-doesnt-have-to-be-boring-how-to-have-fun-as-an-adult/,44,40,1.1,12.1,95,44,0
/individual-podcast-page/,44,6,7.333333333333333,142.66666666666666,93,44,0
/secret-society-invitation-have-you-received-this-letter-what-does-it-mean/,42,40,1.05,50.325,107,42,0
/life-coaching/,40,39,1.0256410256410255,0.358974358974359,51,40,0
/resources/,39,37,1.054054054054054,2.945945945945946,59,39,0
/podcast/the-secret-society-reveals-civilizations-only-hope-for-a-good-future/,38,8,4.75,141.125,87,38,0
/whats-the-truth-about-the-neothink-society-separating-fact-from-fiction/,38,33,1.1515151515151516,35.60606060606061,78,38,0
/is-the-neothink-society-legit-everything-you-need-to-know/,35,29,1.206896551724138,18.103448275862068,64,35,0
/neothink-in-the-21st-century-how-to-navigate-todays-challenges/,35,29,1.206896551724138,68.17241379310344,60,35,0
/sample-page/,32,31,1.032258064516129,1.4516129032258065,45,32,0
/what-people-get-wrong-about-neothink-university-and-whats-actually-true/,28,24,1.1666666666666667,25.791666666666668,50,28,0
/podcast/watch-this-to-never-be-manipulated-again/,26,7,3.7142857142857144,46.142857142857146,52,26,0
/7-ways-to-find-happiness-in-retirement/,25,21,1.1904761904761905,1.5238095238095237,34,25,0
/neothink-society-clearing-up-the-misunderstandings-about-the-secret-society-neothink/,25,24,1.0416666666666667,61.625,61,25,0
/2024/09/12/,23,22,1.0454545454545454,0.9545454545454546,33,23,0
/author/helpfulfox00gmail-com/,23,23,1,1.2173913043478262,32,23,0
/how-to-join-neothink-society-secret-meetings/,23,22,1.0454545454545454,17.227272727272727,42,23,0
/neothink-country/,23,19,1.2105263157894737,99.6842105263158,58,23,0
/podcast/youre-being-manipulated-they-use-guilt-to-control-you-mark-hamilton/,23,5,4.6,103.6,54,23,0
/the-ancient-formula-for-wealth-and-influence-does-neothink-hold-the-answer/,23,23,1,33.608695652173914,35,23,0
/what-is-the-purpose-of-life-and-how-can-we-discover-it/,22,19,1.1578947368421053,11.68421052631579,30,22,0
/2024/07/01/,21,21,1,1.4761904761904763,34,21,0
/podcast/i-used-luck-to-make-a-fortune-and-you-can-too-the-neothink-mentality/,21,5,4.2,49.2,45,21,0
/2024/07/08/,20,20,1,10.4,31,20,0
/2024/07/16/,20,20,1,1.3,26,20,0
/2024/08/26/,20,19,1.0526315789473684,0.15789473684210525,22,20,0
/creating-success-stories-with-neothink-mastermind-group/,20,18,1.1111111111111112,20.22222222222222,34,20,0
/2024/07/31/,19,18,1.0555555555555556,2.388888888888889,26,19,0
/2025/04/01/,19,19,1,1.6842105263157894,26,19,0
/2025/04/06/,19,19,1,0.2631578947368421,22,19,0
/2025/04/12/,19,19,1,2.1052631578947367,25,19,0
/how-to-make-money-as-a-stay-at-home-mom-in-2025/,19,16,1.1875,5.375,24,19,0
/2025/04/21/,18,18,1,2.7777777777777777,20,18,0
/9-effective-steps-to-create-and-maintain-a-healthy-mindset-neothink/,18,17,1.0588235294117647,0.9411764705882353,28,18,0
