Country,Clicks,Impressions,CTR,Position
United States,3641,24586,14.81%,4.01
United Kingdom,49,387,12.66%,10.63
Canada,33,242,13.64%,6.26
Australia,25,172,14.53%,4.77
Spain,18,585,3.08%,3.67
Germany,16,117,13.68%,5.9
France,15,304,4.93%,3.26
South Africa,14,139,10.07%,5.05
India,13,264,4.92%,18.2
Philippines,11,143,7.69%,5.59
Austria,11,35,31.43%,1.8
Kenya,10,85,11.76%,5.26
Ghana,10,28,35.71%,3.86
Italy,9,49,18.37%,8.04
Malaysia,7,57,12.28%,6.44
Thailand,7,28,25%,8.79
Argentina,6,41,14.63%,6.39
Switzerland,6,27,22.22%,3.59
Singapore,6,25,24%,5.68
Poland,5,21,23.81%,3.38
Mexico,4,93,4.3%,4.3
Netherlands,4,55,7.27%,10.56
Colombia,4,24,16.67%,13.29
Sweden,4,13,30.77%,5.77
Bosnia & Herzegovina,4,9,44.44%,9.89
Brazil,3,255,1.18%,16.05
Nigeria,3,59,5.08%,6.47
Belgium,3,26,11.54%,3.65
Romania,3,26,11.54%,6.27
Saudi Arabia,3,25,12%,11.12
New Zealand,3,17,17.65%,7.76
Kuwait,3,6,50%,2.5
Sri Lanka,3,6,50%,3.17
Indonesia,2,98,2.04%,12.32
Turkey,2,49,4.08%,11.84
Japan,2,37,5.41%,6.81
Bangladesh,2,37,5.41%,18.08
Ireland,2,25,8%,8.24
United Arab Emirates,2,18,11.11%,11.72
Puerto Rico,2,15,13.33%,3.67
Ethiopia,2,14,14.29%,9.43
Dominican Republic,2,13,15.38%,2.77
Papua New Guinea,2,9,22.22%,3.11
Portugal,2,9,22.22%,4
Slovakia,2,7,28.57%,3.29
Uganda,2,6,33.33%,2.17
Costa Rica,2,6,33.33%,5.17
Denmark,2,6,33.33%,17.17
Armenia,2,3,66.67%,4
Russia,1,74,1.35%,10.55
Pakistan,1,48,2.08%,10.98
Jamaica,1,19,5.26%,7.42
Egypt,1,14,7.14%,12.93
Trinidad & Tobago,1,13,7.69%,7.54
Jordan,1,11,9.09%,8.27
Tanzania,1,10,10%,6.8
China,1,10,10%,8.6
Panama,1,10,10%,12.2
Greece,1,9,11.11%,2.11
Finland,1,8,12.5%,2.88
Belarus,1,8,12.5%,26.62
Guatemala,1,7,14.29%,10.29
Bulgaria,1,6,16.67%,10.83
Latvia,1,4,25%,2.75
Croatia,1,4,25%,4.75
Aruba,1,3,33.33%,1
El Salvador,1,3,33.33%,1
Cameroon,1,3,33.33%,7.33
Honduras,1,3,33.33%,19.33
South Sudan,1,2,50%,1.5
Guadeloupe,1,1,100%,1
Martinique,1,1,100%,2
Namibia,1,1,100%,2
Vietnam,0,88,0%,20.39
South Korea,0,50,0%,11.56
Ukraine,0,36,0%,9.44
Morocco,0,30,0%,10.47
Ecuador,0,25,0%,27.6
Chile,0,20,0%,7.7
Nepal,0,17,0%,3.12
Iraq,0,16,0%,25.81
Peru,0,15,0%,11.13
Hong Kong,0,13,0%,3
Venezuela,0,13,0%,12.15
Slovenia,0,12,0%,3.92
Algeria,0,12,0%,6.5
Norway,0,11,0%,4.27
Unknown Region,0,11,0%,7.82
Paraguay,0,10,0%,27
Taiwan,0,9,0%,6.11
Tunisia,0,8,0%,4.88
Bahrain,0,7,0%,1.29
Uzbekistan,0,6,0%,6.83
Uruguay,0,6,0%,7.17
Hungary,0,5,0%,1.8
Lithuania,0,5,0%,2.6
Qatar,0,5,0%,2.6
Moldova,0,5,0%,6.2
Serbia,0,5,0%,16
Georgia,0,5,0%,27
Mongolia,0,4,0%,2
Bahamas,0,4,0%,2.25
Iran,0,4,0%,2.25
Israel,0,4,0%,8.75
Bolivia,0,4,0%,21.5
Kazakhstan,0,3,0%,1
Somalia,0,3,0%,1
Haiti,0,3,0%,2
Palestine,0,3,0%,2.33
Senegal,0,3,0%,3.67
Macedonia,0,3,0%,4
Czechia,0,3,0%,5.67
Barbados,0,3,0%,12
Cambodia,0,3,0%,12.33
Oman,0,3,0%,21
Azerbaijan,0,3,0%,29.33
Cyprus,0,2,0%,1.5
Lebanon,0,2,0%,1.5
Angola,0,2,0%,2
Benin,0,2,0%,4.5
Togo,0,2,0%,5
Gabon,0,2,0%,5.5
Bermuda,0,1,0%,1
Guyana,0,1,0%,1
U.S. Virgin Islands,0,1,0%,1
Brunei,0,1,0%,2
Fiji,0,1,0%,3
Mauritius,0,1,0%,3
Belize,0,1,0%,4
Réunion,0,1,0%,4
Zambia,0,1,0%,4
Estonia,0,1,0%,5
Myanmar (Burma),0,1,0%,5
Montenegro,0,1,0%,5
Syria,0,1,0%,5
Grenada,0,1,0%,7
Cuba,0,1,0%,17
Luxembourg,0,1,0%,52
Mauritania,0,1,0%,52
