topic,keyword_phrase,search_volume,cpc,platform
entrepreneurship,entrepreneurship development program,110000,1.43,google
entrepreneurship,entrepreneurship development program,110000,1.43,google
entrepreneurship,entrepreneurship development program,110000,1.43,youtube
intelligence,central intelligence agency world factbook,33100,0.19,google
intelligence,central intelligence agency world factbook,33100,0.19,youtube
intelligence,counter intelligence program,22200,7.58,youtube
intelligence,counter intelligence program,22200,7.58,google
intelligence,course in artificial intelligence,18100,15.25,google
intelligence,course in artificial intelligence,18100,15.25,youtube
self-improvement,self improvement books best,18100,0.65,youtube
self-improvement,self improvement books best,18100,0.65,google
intelligence,machine intelligence course,14800,14.16,google
intelligence,machine intelligence course,14800,14.16,youtube
intelligence,ai intelligence course,14800,11.99,youtube
self-improvement,top rated self improvement books,14800,0.43,google
intelligence,ai intelligence course,14800,11.99,google
self-improvement,top rated self improvement books,14800,0.43,youtube
intelligence,artificial general intelligence course,12100,10.84,youtube
intelligence,book emotional intelligence,12100,0.65,youtube
intelligence,artificial general intelligence course,12100,10.84,google
intelligence,course on artificial intelligence,12100,14.28,youtube
intelligence,program artificial intelligence,12100,9.39,google
intelligence,book emotional intelligence,12100,0.65,google
intelligence,program for artificial intelligence,12100,7.35,google
intelligence,program for artificial intelligence,12100,7.35,youtube
intelligence,program artificial intelligence,12100,9.39,youtube
intelligence,course on artificial intelligence,12100,14.28,google
self-improvement,self improvement books,9900,0.75,youtube
intelligence,artificial intelligence courses coursera,9900,7.41,youtube
intelligence,artificial intelligence courses coursera,9900,7.41,google
self-improvement,good self improvement books,9900,0.62,google
self-improvement,good self improvement books,9900,0.62,youtube
self-improvement,self improvement books,9900,0.75,google
self-improvement,self improvement books,9900,0.75,youtube
self-improvement,self improvement books,9900,0.75,google
entrepreneurship,entrepreneurship development program meaning,8100,0.00,youtube
intelligence,books about artificial intelligence,8100,1.63,google
happiness,the pursuit of happiness book,8100,0.85,google
intelligence,online artificial intelligence course,8100,14.22,youtube
intelligence,advanced artificial intelligence course,8100,13.89,youtube
self-improvement,self improvement book,8100,1.05,google
entrepreneurship,entrepreneurship development program meaning,8100,0.00,google
intelligence,artificial intelligence training,8100,11.18,youtube
happiness,the pursuit of happiness book,8100,0.85,youtube
intelligence,artificial intelligence training,8100,11.18,google
self-improvement,self improvement book,8100,1.05,youtube
intelligence,books about artificial intelligence,8100,1.63,youtube
intelligence,advanced artificial intelligence course,8100,13.89,google
intelligence,online artificial intelligence course,8100,14.22,google
self-improvement,good book for self improvement,6600,0.82,youtube
happiness,happiness project book,6600,0.82,google
intelligence,book positive intelligence,6600,1.68,youtube
intelligence,artificial intelligence training jobs,6600,4.38,google
intelligence,book positive intelligence,6600,1.68,google
self-improvement,good book for self improvement,6600,0.82,google
intelligence,book on artificial intelligence,6600,1.20,youtube
intelligence,artificial intelligence training jobs,6600,4.38,youtube
intelligence,book on artificial intelligence,6600,1.20,google
intelligence,training for artificial intelligence,6600,12.38,youtube
intelligence,book written by artificial intelligence,6600,4.18,youtube
intelligence,book written by artificial intelligence,6600,4.18,google
intelligence,training for artificial intelligence,6600,12.38,google
intelligence,emotional intelligence course,5400,7.55,google
entrepreneurship,entrepreneurship course,5400,19.87,google
self-improvement,self improvement books for women,5400,0.76,google
entrepreneurship,entrepreneurship course,5400,19.87,youtube
entrepreneurship,entrepreneurship online courses,5400,36.52,google
happiness,happiness trap book,5400,0.67,google
happiness,happiness book,5400,0.24,youtube
intelligence,artificial intelligence certificate programs,5400,14.97,youtube
intelligence,training on emotional intelligence,5400,10.74,youtube
self-improvement,self improvement books for women,5400,0.76,youtube
intelligence,emotional intelligence course,5400,7.55,youtube
intelligence,artificial intelligence free course,5400,6.50,google
self-improvement,self improvement books for woman,5400,0.86,google
entrepreneurship,entrepreneurship online course,5400,36.52,google
prosperity,prosperity book,5400,0.49,google
intelligence,artificial intelligence certificate programs,5400,14.97,google
prosperity,prosperity book,5400,0.49,youtube
happiness,pursuit of happiness book,5400,0.83,google
self-improvement,self improvement books for women,5400,0.76,youtube
self-improvement,self improvement books for woman,5400,0.86,youtube
intelligence,artificial intelligence free course,5400,6.50,youtube
entrepreneurship,entrepreneurship course,5400,19.87,youtube
intelligence,training on emotional intelligence,5400,10.74,google
entrepreneurship,entrepreneurship online course,5400,36.52,youtube
happiness,happiness book,5400,0.24,google
happiness,happiness book,5400,0.24,google
happiness,pursuit of happiness book,5400,0.83,youtube
entrepreneurship,entrepreneurship online courses,5400,36.52,youtube
intelligence,artificial intelligence course free online,5400,6.12,youtube
intelligence,artificial intelligence course free online,5400,6.12,google
entrepreneurship,entrepreneurship course,5400,19.87,google
prosperity,prosperity book,5400,0.49,youtube
self-improvement,self improvement books for women,5400,0.76,google
entrepreneurship,course entrepreneurship,4400,21.03,youtube
happiness,the happiness advantage book,4400,0.70,google
intelligence,free course artificial intelligence,4400,5.45,youtube
intelligence,program business intelligence,4400,31.79,youtube
intelligence,course on emotional intelligence,4400,9.24,youtube
