Date,Metric,Value,Source,Notes
2025-09-22,Organic Google Search Clicks,4256,GA4 Export,Verified calculation from full CSV - SOURCE OF TRUTH
2025-09-22,Organic Active Users,3703,GA4 Export,Verified calculation from full CSV
2025-09-22,Total Active Users,21137,GA4 Export,12-month period Sep 2024-Sep 2025
2025-09-22,Engagement Rate,94.48%,GA4 Export,Exceptional quality baseline
2025-09-22,Top Query - neothink,725 clicks,GSC Export,20.94% CTR - Position 2.01
2025-09-22,Top Query - neothink society,401 clicks,GSC Export,21.95% CTR - Position 1.12
2025-09-22,Homepage Organic Clicks,2178,GA4 Export,51% of total organic clicks
2025-09-22,Baseline Revenue Attribution,$13757/year,Calculated,4256 clicks × 0.65% × $497 = 27.7 customers
2025-09-22,Content Pages Published,91,WordPress DB,32 pages + 42 posts + 17 podcasts
2025-09-22,Indexing Issues,1 page,GSC,Post ID 1782 only blocking issue
2025-10-06,Mobile CTR,16.3%,GSC Analysis,64% above desktop - exceptional mobile UX
2025-10-06,Desktop CTR,9.95%,GSC Analysis,Combined average CTR 2.90%
2025-10-06,Pre-Order Conversion Rate,17.65%,Homepage Test,Mark Hamilton book pre-order funnel (6 orders from 34 uniques)
2025-10-06,Pre-Order Revenue Per Visitor,$5.29,Homepage Test,27x higher conversion vs site baseline (17.65% vs 0.65%)
2025-10-06,Zero-Click Books Page,0.07% CTR,GSC Analysis,4413 impressions with 3 clicks - critical optimization opportunity
2025-10-06,GA4 Conversion Tracking,BROKEN,GA4 Audit,Showing 94-100% conversion rates (impossible) - DO NOT USE
2025-10-06,Organic Engagement Time,117.96s,GA4 Analysis,9x better than paid search (13.10s) - validates organic quality
2025-10-06,Day 1 Retention,2.5%,GA4 Analysis,Industry standard 20-40% - severe retention crisis
2025-10-06,Referral Traffic Percentage,49.2%,GA4 Analysis,Under investigation - conflicts with brand-dependent narrative
2025-10-06,Non-Branded Traffic,0.86%,GA4 Analysis,Even worse than SEO estimate (5%) - validates keyword expansion need
